2025-09-30 09:03:50 | faiss.loader | DEBUG    | loader.py:<module>:95 | Environment variable FAISS_OPT_LEVEL is not set, so let's pick the instruction set according to the current CPU
2025-09-30 09:03:50 | faiss.loader | INFO     | loader.py:<module>:119 | Loading faiss with AVX512 support.
2025-09-30 09:03:50 | faiss.loader | INFO     | loader.py:<module>:121 | Successfully loaded faiss with AVX512 support.
2025-09-30 09:03:52 | numexpr.utils | INFO     | utils.py:_init_num_threads:164 | NumExpr defaulting to 8 threads.
2025-09-30 09:03:57 | sentence_transformers.SentenceTransformer | INFO     | SentenceTransformer.py:__init__:219 | Use pytorch device_name: cpu
2025-09-30 09:03:57 | sentence_transformers.SentenceTransformer | INFO     | SentenceTransformer.py:__init__:227 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-09-30 09:03:57 | urllib3.connectionpool | DEBUG    | connectionpool.py:_new_conn:1049 | Starting new HTTPS connection (1): huggingface.co:443
2025-09-30 09:03:58 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 307 0
2025-09-30 09:03:58 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json HTTP/1.1" 200 0
2025-09-30 09:03:58 | filelock | DEBUG    | _api.py:acquire:331 | Attempting to acquire lock 139274507396496 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/952a9b81c0bfd99800fabf352f69c7ccd46c5e43.lock
2025-09-30 09:03:58 | filelock | DEBUG    | _api.py:acquire:334 | Lock 139274507396496 acquired on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/952a9b81c0bfd99800fabf352f69c7ccd46c5e43.lock
2025-09-30 09:03:58 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "GET /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json HTTP/1.1" 200 349
2025-09-30 09:03:58 | filelock | DEBUG    | _api.py:release:364 | Attempting to release lock 139274507396496 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/952a9b81c0bfd99800fabf352f69c7ccd46c5e43.lock
2025-09-30 09:03:58 | filelock | DEBUG    | _api.py:release:367 | Lock 139274507396496 released on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/952a9b81c0bfd99800fabf352f69c7ccd46c5e43.lock
2025-09-30 09:03:58 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
2025-09-30 09:03:58 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json HTTP/1.1" 200 0
2025-09-30 09:03:58 | filelock | DEBUG    | _api.py:acquire:331 | Attempting to acquire lock 139274507389824 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/fd1b291129c607e5d49799f87cb219b27f98acdf.lock
2025-09-30 09:03:58 | filelock | DEBUG    | _api.py:acquire:334 | Lock 139274507389824 acquired on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/fd1b291129c607e5d49799f87cb219b27f98acdf.lock
2025-09-30 09:03:58 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "GET /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json HTTP/1.1" 200 116
2025-09-30 09:03:58 | filelock | DEBUG    | _api.py:release:364 | Attempting to release lock 139274507389824 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/fd1b291129c607e5d49799f87cb219b27f98acdf.lock
2025-09-30 09:03:58 | filelock | DEBUG    | _api.py:release:367 | Lock 139274507389824 released on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/fd1b291129c607e5d49799f87cb219b27f98acdf.lock
2025-09-30 09:03:58 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
2025-09-30 09:03:58 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json HTTP/1.1" 200 0
2025-09-30 09:03:59 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md HTTP/1.1" 307 0
2025-09-30 09:03:59 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/README.md HTTP/1.1" 200 0
2025-09-30 09:03:59 | filelock | DEBUG    | _api.py:acquire:331 | Attempting to acquire lock 139274507558608 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/58d4a9a45664eb9e12de9549c548c09b6134c17f.lock
2025-09-30 09:03:59 | filelock | DEBUG    | _api.py:acquire:334 | Lock 139274507558608 acquired on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/58d4a9a45664eb9e12de9549c548c09b6134c17f.lock
2025-09-30 09:03:59 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "GET /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/README.md HTTP/1.1" 200 None
2025-09-30 09:03:59 | filelock | DEBUG    | _api.py:release:364 | Attempting to release lock 139274507558608 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/58d4a9a45664eb9e12de9549c548c09b6134c17f.lock
2025-09-30 09:03:59 | filelock | DEBUG    | _api.py:release:367 | Lock 139274507558608 released on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/58d4a9a45664eb9e12de9549c548c09b6134c17f.lock
2025-09-30 09:03:59 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 307 0
2025-09-30 09:03:59 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json HTTP/1.1" 200 0
2025-09-30 09:03:59 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json HTTP/1.1" 307 0
2025-09-30 09:03:59 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/sentence_bert_config.json HTTP/1.1" 200 0
2025-09-30 09:03:59 | filelock | DEBUG    | _api.py:acquire:331 | Attempting to acquire lock 139274507558272 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/59d594003bf59880a884c574bf88ef7555bb0202.lock
2025-09-30 09:03:59 | filelock | DEBUG    | _api.py:acquire:334 | Lock 139274507558272 acquired on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/59d594003bf59880a884c574bf88ef7555bb0202.lock
2025-09-30 09:03:59 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "GET /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/sentence_bert_config.json HTTP/1.1" 200 53
